644,474,44,98
644,483,53,79
643,484,57,77
643,484,58,76
643,481,56,76
642,479,56,79
646,477,50,74
647,478,47,77
649,479,50,73
652,468,43,76
652,466,46,90
655,464,44,81
658,465,42,76
657,463,44,88
662,460,40,72
662,462,42,84
662,458,43,89
660,457,43,97
661,458,42,77
657,462,46,90
657,454,45,76
655,449,45,70
656,451,42,66
652,442,45,69
655,441,37,70
653,437,37,70
655,436,40,70
655,433,43,73
657,430,42,75
658,430,40,76
658,428,40,75
659,430,39,74
655,429,44,76
652,430,43,77
648,432,40,77
642,434,42,81
637,438,42,80
631,443,43,83
627,446,44,86
625,450,45,83
618,447,51,83
623,445,44,83
619,440,47,86
617,434,49,89
619,428,44,89
618,423,44,90
617,419,46,90
612,418,49,86
612,419,48,84
605,417,51,84
603,412,50,86
605,411,45,83
605,409,46,80
612,404,46,83
612,402,46,81
616,398,46,82
612,392,49,85
607,390,48,84
601,388,51,81
597,384,48,83
599,385,46,81
606,385,43,77
604,380,47,82
608,376,48,83
609,370,48,83
610,369,48,79
612,366,45,79
614,366,45,79
611,362,45,81
607,359,47,82
600,357,47,79
592,355,49,77
594,355,48,81
594,354,45,80
596,352,46,81
598,349,46,78
599,348,43,74
596,346,48,76
591,344,52,75
591,342,52,78
591,342,50,78
589,341,51,78
586,340,52,77
585,339,51,75
586,338,50,79
582,339,52,78
583,337,51,78
585,334,50,77
585,332,47,76
586,329,47,77
586,328,46,76
582,327,50,76
580,328,48,72
578,327,49,74
578,327,48,77
578,328,48,80
577,326,50,81
577,325,50,78
576,325,50,75
576,324,50,75
573,324,50,73
571,325,48,72
571,327,46,72
571,327,45,73
573,324,44,75
575,319,42,79
576,317,43,79
577,317,43,79
577,317,43,78
576,318,43,75
574,317,46,75
575,315,46,73
579,312,45,72
580,309,47,72
587,307,43,73
589,307,46,74
589,308,48,74
590,306,47,77
595,298,41,80
589,294,40,78
593,288,35,73
581,284,45,68
582,282,43,70
585,281,40,70
588,280,38,72
589,283,39,74
593,282,37,75
593,285,37,73
594,286,36,73
597,284,35,75
602,283,37,74
608,280,37,72
611,276,40,75
610,276,42,72
611,275,43,73
610,273,46,74
613,268,48,75
617,264,45,76
617,259,47,77
620,258,47,75
623,256,47,74
628,257,42,70
627,255,44,68
635,257,37,68
635,257,37,68
636,256,35,69
638,255,34,70
636,255,34,71
636,253,34,72
635,252,35,73
635,250,34,72
635,249,34,72
634,247,34,71
633,245,35,72
631,242,36,71
632,243,37,71
630,241,39,70
631,241,41,70
633,241,41,71
639,239,41,73
644,237,42,73
648,237,42,71
649,234,43,71
654,237,40,67
659,237,36,67
661,239,36,66
663,238,35,67
664,239,35,68
666,239,36,69
667,240,35,69
671,241,34,68
670,244,34,68
666,250,35,66
664,255,35,64
663,260,35,64
661,264,35,65
660,269,35,66
660,278,33,65
656,284,35,64
655,290,34,66
651,295,40,63
647,298,40,62
647,302,40,60
648,306,36,62
649,312,34,60
647,319,33,59
642,323,35,58
646,327,31,57
638,329,33,56
634,331,36,56
628,332,35,57
624,334,33,56
625,338,28,52
624,342,25,47
625,344,26,46
626,344,25,47
628,340,26,55
603,334,40,41
607,338,39,58
