624,201,84,146
637,172,82,159
639,158,85,165
648,161,83,159
654,161,83,161
659,170,99,138
668,172,87,152
706,203,82,152
725,201,78,166
723,208,79,142
725,205,74,154
706,203,95,168
699,198,93,160
694,204,80,150
690,190,79,146
687,195,76,144
688,181,73,141
684,175,75,158
684,187,76,149
687,196,76,147
686,188,80,142
707,186,80,149
727,195,70,143
719,188,74,152
716,186,77,154
714,190,81,159
712,194,79,160
712,201,76,158
713,192,75,166
704,214,75,151
695,194,80,153
683,198,77,158
672,203,102,145
645,221,88,128
640,218,95,138
645,220,79,150
636,228,87,149
639,223,77,146
643,226,77,154
643,220,77,148
640,224,78,150
638,213,85,148
634,225,77,140
636,194,73,150
643,187,70,148
644,169,70,159
647,162,71,151
656,156,64,144
648,145,66,143
649,144,60,140
635,142,74,158
606,159,86,154
610,150,76,147
609,156,80,142
604,170,73,140
605,199,68,133
608,206,63,132
609,195,69,128
604,181,78,137
606,186,77,141
593,195,89,142
589,202,86,144
589,214,76,134
572,198,92,147
590,206,74,140
592,200,68,136
595,204,65,128
594,224,62,135
526,205,108,180
566,154,98,187
543,159,91,161
514,180,70,138
512,209,90,170
469,198,106,190
434,181,130,135
472,199,75,154
475,178,71,142
477,177,68,139
476,174,69,135
473,189,72,140
459,203,67,144
407,213,78,156
414,215,113,167
400,238,99,161
415,249,98,162
399,267,110,156
403,256,117,177
399,289,140,162
396,280,87,165
404,277,76,152
399,262,81,174
385,251,83,180
389,242,79,163
379,233,93,197
382,225,88,179
366,230,117,225
413,234,120,147
307,184,132,218
78,216,231,160
101,222,223,187
134,243,278,178
294,260,191,189
237,256,172,199
124,256,181,222
151,278,154,202
172,268,136,204
178,266,159,187
208,264,143,183
157,260,149,178
172,245,128,194
171,247,148,175
237,233,131,189
192,251,132,188
194,272,122,176
233,275,145,184
239,267,145,191
230,259,158,204
208,260,195,207
187,263,195,220
158,273,159,200
211,254,127,213
186,240,123,210
153,240,123,196
131,250,132,190
129,263,144,168
130,249,134,197
65,286,159,158
127,268,178,164
213,247,160,176
251,258,227,171
289,244,176,173
187,304,137,207
180,305,128,197
195,255,121,220
198,257,123,150
171,263,148,150
222,267,131,143
254,267,153,136
244,267,162,136
