527,84,341,160
513,68,365,168
521,65,377,176
515,78,368,164
509,76,369,164
528,75,366,165
546,78,362,160
538,80,389,163
571,76,382,162
548,71,408,174
560,70,399,183
484,75,472,187
510,71,444,184
529,73,410,181
523,78,403,189
509,96,402,182
492,108,401,184
476,117,402,181
449,136,415,178
426,153,420,211
434,156,411,172
187,100,308,170
239,114,316,167
301,106,296,179
460,185,377,148
454,181,382,149
446,183,383,148
439,185,371,143
452,176,363,148
469,187,332,143
436,131,405,163
441,70,396,193
383,161,368,154
385,170,356,148
378,164,339,143
389,142,359,153
353,136,340,144
333,137,333,133
328,139,341,129
320,139,332,127
310,140,343,126
302,140,323,124
301,140,322,124
306,141,322,122
320,144,313,122
321,146,312,124
310,149,322,136
99,204,317,114
129,214,317,108
152,213,322,112
175,215,325,111
199,205,335,121
214,206,356,120
228,187,356,138
243,175,350,148
264,165,322,154
283,157,317,152
310,178,315,128
321,163,327,142
326,162,346,141
329,145,365,152
345,163,377,128
366,161,372,132
389,150,366,142
446,172,328,121
472,174,326,118
487,171,335,118
343,134,221,122
357,129,219,111
362,133,214,104
373,135,209,102
376,141,207,96
380,144,204,92
385,148,197,90
383,149,194,90
383,149,189,89
382,146,185,91
380,145,182,89
381,145,182,84
384,142,179,83
390,139,173,83
394,136,170,81
397,133,169,81
395,130,161,82
396,130,162,80
395,129,163,82
386,133,172,81
388,136,168,82
376,142,180,80
380,148,183,78
379,148,183,78
382,147,180,79
384,132,174,94
359,119,198,105
370,92,190,129
378,98,192,122
377,97,198,123
282,97,268,111
288,91,288,118
275,89,267,120
335,88,259,123
301,90,242,116
321,90,237,114
334,88,235,118
337,87,229,120
355,90,219,118
376,85,209,120
383,83,207,117
388,83,201,119
397,74,190,124
408,79,193,119
430,79,174,120
438,85,168,110
436,90,171,108
406,81,174,110
443,82,168,108
446,86,164,101
437,77,164,104
428,72,162,121
332,123,250,131
322,122,266,140
339,117,246,152
346,120,231,152
333,109,222,136
377,123,205,128
495,53,220,108
499,55,211,107
499,53,197,107
483,52,206,114
413,135,154,110
417,139,125,97
440,133,108,70
430,133,113,61
431,135,112,64
432,134,111,63
432,138,106,61
431,141,103,57
427,134,103,62
408,137,117,62
422,137,102,60
435,136,90,59
426,131,91,65
420,136,94,62
416,135,98,65
416,143,93,65
404,140,104,70
369,136,147,79
353,137,170,84
326,134,195,91
351,136,167,81
370,136,170,75
382,135,154,78
394,136,160,76
401,135,167,81
413,133,162,82
418,137,150,78
426,140,156,73
435,140,148,74
443,140,149,75
450,140,164,78
445,142,176,81
447,147,176,85
451,156,181,80
440,157,199,82
428,158,205,82
431,159,196,77
443,160,181,74
437,162,178,72
450,161,161,74
472,164,154,69
471,163,159,67
480,160,153,68
474,156,160,71
472,153,117,71
472,155,110,67
509,156,156,69
507,152,172,77
505,152,194,80
493,154,178,76
490,142,116,82
524,152,109,71
525,151,80,71
533,151,99,74
544,149,97,73
546,130,81,86
546,146,99,76
555,137,87,77
554,149,95,70
573,135,94,78
586,149,105,70
607,150,114,65
610,150,116,66
613,145,84,74
615,152,95,78
618,149,84,82
617,160,96,80
625,145,93,92
628,144,86,88
630,147,87,85
638,138,86,92
648,140,85,84
651,135,84,85
661,142,81,75
664,127,79,87
656,139,93,83
669,140,81,82
674,133,85,82
686,140,78,80
697,133,88,80
706,120,81,92
719,136,110,78
728,126,80,86
721,129,92,91
727,139,85,87
